[2018-10-18 00:21:16,971][INFO] Training started on cuda:0
[2018-10-18 04:11:13,126][INFO] ------------------------------
[2018-10-18 04:13:32,664][INFO] [89/200] Train loss: 155.144570 
[2018-10-18 04:13:33,915][INFO] [89/200] Validation loss: 168.172400 
[2018-10-18 04:13:33,918][INFO] [89/200] Time: 140.790335 s
[2018-10-18 04:13:33,919][INFO] ------------------------------
[2018-10-18 04:16:03,769][INFO] [90/200] Train loss: 169.362645 
[2018-10-18 04:16:04,976][INFO] [90/200] Validation loss: 183.403021 
[2018-10-18 04:16:04,979][INFO] [90/200] Time: 151.059052 s
[2018-10-18 04:16:04,980][INFO] ------------------------------
[2018-10-18 04:18:47,323][INFO] [91/200] Train loss: 157.669284 
[2018-10-18 04:18:48,574][INFO] [91/200] Validation loss: 170.401268 
[2018-10-18 04:18:48,577][INFO] [91/200] Time: 163.595406 s
[2018-10-18 04:18:48,578][INFO] ------------------------------
[2018-10-18 04:21:18,335][INFO] [92/200] Train loss: 159.736638 
[2018-10-18 04:21:19,480][INFO] [92/200] Validation loss: 172.084352 
[2018-10-18 04:21:19,483][INFO] [92/200] Time: 150.903724 s
[2018-10-18 04:21:19,485][INFO] ------------------------------
[2018-10-18 04:23:55,811][INFO] [93/200] Train loss: 180.806345 
[2018-10-18 04:23:57,128][INFO] [93/200] Validation loss: 192.486437 
[2018-10-18 04:23:57,132][INFO] [93/200] Time: 157.645893 s
[2018-10-18 04:23:57,133][INFO] ------------------------------
[2018-10-18 04:26:39,741][INFO] [94/200] Train loss: 215.530018 
[2018-10-18 04:26:41,105][INFO] [94/200] Validation loss: 227.114177 
[2018-10-18 04:26:41,109][INFO] [94/200] Time: 163.974126 s
[2018-10-18 04:26:41,110][INFO] ------------------------------
[2018-10-18 04:29:14,332][INFO] [95/200] Train loss: 199.732534 
[2018-10-18 04:29:15,601][INFO] [95/200] Validation loss: 212.199852 
[2018-10-18 04:29:15,604][INFO] [95/200] Time: 154.492715 s
[2018-10-18 04:29:15,604][INFO] ------------------------------
[2018-10-18 04:31:43,831][INFO] [96/200] Train loss: 152.033188 
[2018-10-18 04:31:45,061][INFO] [96/200] Validation loss: 164.877699 
[2018-10-18 04:31:45,064][INFO] [96/200] Time: 149.458593 s
[2018-10-18 04:31:45,065][INFO] ------------------------------
[2018-10-18 04:34:12,726][INFO] [97/200] Train loss: 205.126434 
[2018-10-18 04:34:14,028][INFO] [97/200] Validation loss: 216.063778 
[2018-10-18 04:34:14,031][INFO] [97/200] Time: 148.964512 s
